title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
BBC Arabic Live - lbth lmbshr ltlfzywn by by sy `rby,HxI2TxhhS9A,7761426,0,0,0,0
btwqyt mSr : lq m` lmHmy@ mh 'bw bkr Hwl qDy lnsb fy mSr,Cj5v_gXyJ_o,869,33,2,2,0
btwqyt mSr : lq m` lny'b 'Hmd TnTwy Hwl lkhlf byn tktl 30/25 wry'ys lbrlmn lmSry,dkc8WdGnO6w,558,25,4,9,0
hl hnk f`lan ny@ lnsh Hlf `skry `rby `l~ Grr Hlf lntw?,Cir7oZV7T9A,1145,35,6,15,0
BBC Arabic TV - News - 081217,FDMffQuDOhY,31530,94,8,0,0
by_by_sy_trndynG: qy'd Ty'r@ rkb `rqy@ wms`dh ytshjrn fy qmr@ lqyd@,7EQJXRDMYas,43926,583,69,506,0
#nymr yuthyr ljdl btdkhl `nyf `l~ l`b SGyr ydf`h ltGyyr tmthylyth     #brwH_ryDy@,OKc1HL1KoEM,6499,116,32,15,0
"hl Hml@ ""'n 'yDan"" Me Too lsbb fy stmrr shkw~ ltHrsh fy 'mryk?",G1f3XEZEV4g,133,7,0,2,0
frns 24 lbth lmbshr - l'khbr ldwly@ `l~ mdr ls`@,pKwwbY_g2Ac,9189400,15179,3033,49,0
by_by_sy_trndynG:  rDy`@ ybny@ tSbH njm@ `l~ nstGrm bsbb sh`rh,QXaZaCn-2-w,1972,32,3,2,0
"by_by_sy_trndynG: ntHdth m` ""Tbyb lfqr"" fy #lmGrb lmhdy lshf`y wns'lh `n sbb stqlth",2DOmaS5rblc,39327,1554,10,318,0
by_by_sy_trndynG: twns tmn` Tfl@ sry'yly@ `mrh 7 snwt mn lmshrk@ fy bTwl@ dwly@ llshTrnj,ogG9HD3AriI,40577,735,66,674,0
dkhl lTr: `bdw nSyf,LmyFfSXKZcw,94,3,1,1,0
by_by_sy_trndynG: ntshr ws` lfydyw lnshT@ swydy@ ttSd~ ltrHyl Tlb ljw 'fGny `l~ Ty'r@,2a6o56cBpgA,96966,1864,87,820,0
btwqyt mSr : mnqsh@ Hwl mshrw` qnwn tnZym lSHf@ wl`lm fy mSr,6NH6HBAh_8s,282,8,3,4,0
Al Jazeera Arabic Live Stream HD- lbth lHy lqn@ ljzyr@ lkhbry@ bjwd@ `ly@,ySWcW3OJ_3k,6271320,0,0,88,0
by_by_sy_trndynG | #`dnn_'wktr ld`y@ lslmy wnsw'h lrqSt fy qbD@ lshrT@ fy #trky,qsMpwPvU4Fc,596918,4783,874,1989,0
"by_by_sy_trndynG |  "" mkny lys fy lmTbkh"" sh`r Hml@ #ljzy'r lltDmn m` #rym DHy@ l`td",kzsANGsd_DY,10935,136,83,724,0
